,Term,ID,Definition,Synonyms,HPO_ID
8554,Decreased corneal sensation,0012155,Reduced ability of the cornea to respond to stimulation.,"Corneal hypaesthesia, Corneal hypesthesia, Reduced corneal sensation",HP:0012155
8555,Hemophagocytosis,0012156,"Phagocytosis by macrophages of erythrocytes, leukocytes, platelets, and their precursors in bone marrow and other tissues.",,HP:0012156
8556,Subcortical cerebral atrophy,0012157,"Atrophy of the cerebral subcortical white and gray matter, termed subcortical atrophy, reflects loss of nerve cells in the basal ganglia or fibers in the deep white matter.",,HP:0012157
8557,Carotid artery dissection,0012158,A separation (dissection) of the layers of the carotid artery wall.,,HP:0012158
8558,Internal carotid artery dissection,0012159,A separation (dissection) of the layers of the internal carotid artery wall.,,HP:0012159
8559,Intracranial internal carotid artery dissection,0012160,A separation (dissection) of the layers of the intracranial portion of the internal carotid artery wall.,,HP:0012160
8560,External carotid artery dissection,0012161,A separation (dissection) of the layers of the external carotid artery wall.,,HP:0012161
8561,Common carotid artery dissection,0012162,A separation (dissection) of the layers of the common carotid artery wall.,,HP:0012162
8562,Carotid artery dilatation,0012163,A dilatation (balooning or bulging out of the vessel wall) of a carotid artery.,,HP:0012163
8563,Asterixis,0012164,"A clinical sign indicating a lapse of posture and is usually manifest by a bilateral flapping tremor at the wrist, metacarpophalangeal, and hip joints.",,HP:0012164
8564,Oligodactyly,0012165,A developmental defect resulting in the presence of fewer than the normal number of digits.,,HP:0012165
8565,Skin-picking,0012166,Repetitive and compulsive picking of skin which results in tissue damage.,"Compulsive skin picking, Dermatillomania",HP:0012166
8566,Hair-pulling,0012167,"A phenomenon in which persons repetitively pull out their own hair, resulting in noticeable hair loss.",Trichotillomania,HP:0012167
8567,Head-banging,0012168,Habitual striking of one's own head against a surface such as a mattress or wall of a crib.,Head-banging,HP:0012168
8568,Self-biting,0012169,Habitual biting of one's own body.,,HP:0012169
8569,Nail-biting,0012170,Habitual biting of one's own fingernails.,"Nail-biting, Onychophagia, Onychophagy",HP:0012170
8570,Stereotypical hand wringing,0012171,Habitual clasping and squeezing of the hands.,,HP:0012171
8571,Stereotypical body rocking,0012172,Habitual repetitive movement of the body.,,HP:0012172
8572,Orthostatic tachycardia,0012173,An increase in heart rate with standing of 30 beats per minute or more.,Postural tachycardia,HP:0012173
8573,Glioblastoma multiforme,0012174,"A tumor arising from glia in the central nervous system with macroscopic regions of necrosis and hemorrhage. Microscopically, glioblastoma multiforme is characterized by regions of pseudopalisading necrosis, pleomorphic nuclei and cells, and microvascular proliferation.",Glioblastoma,HP:0012174
8574,Resistance to activated protein C,0012175,Poor anticoagulant response to activated protein C. A plasma is termed 'APC resistant' when the addition of exogenous APC fails to prolong its clotting time in an activated partial thromboplastin time assay.,Activated protein C resistance,HP:0012175
8575,Abnormal natural killer cell morphology,0012176,"An anomaly of the natural killer cell, which is a lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors. It also regulates immune responses via cytokine release and direct contact with other cells.","Abnormal NK cells, Abnormality of natural killer cells",HP:0012176
8576,Abnormal natural killer cell physiology,0012177,A functional anomaly of the natural killer cell.,,HP:0012177
8577,Reduced natural killer cell activity,0012178,Reduced ability of the natural killer cell to function in the adaptive immune response.,,HP:0012178
8578,Craniofacial dystonia,0012179,"A form of focal dystonia affecting the face and especially the jaw that is induced by the act of speaking. It is an involuntary contraction of the masticatory muscles, resulting in dysarthria or dysphagia.",Abnormal craniofacial muscle tone,HP:0012179
8579,Cystic medial necrosis,0012180,"A disorder of large arteries, in particular the aorta, characterized by an accumulation of basophilic ground substance in the media with cyst-like lesions associated with degenerative changes of collagen, elastin and the vascular smooth muscle cells.",Arterial cystic medial necrosis,HP:0012180
8580,Entrapment neuropathy,0012181,Malfunction of a peripheral nerve resulting from mechanical compression of the nerve roots from internal or external causes and leading to a conduction block or axonal loss.,,HP:0012181
8581,Oropharyngeal squamous cell carcinoma,0012182,A squamous cell carcinoma that originates in the oropharnyx.,,HP:0012182
8582,Hyperplastic colonic polyposis,0012183,Presence of multiple hyperplastic polyps in the colon. Hyperplastic polyps are generally about 5 mm in size and show hyperplastic mucosal proliferation.,,HP:0012183
8583,Increased HDL cholesterol concentration,0012184,An elevated concentration of high-density lipoprotein cholesterol (HDL) in the blood.,"High blood HDL level, Hyperalphalipoproteinemia, Increased circulating high-density lipoprotein levels",HP:0012184
8584,Constrictive median neuropathy,0012185,"Injury to the median nerve caused by its entrapment at the wrist as it traverses through the carpal tunnel. Clinically, constrictive median neuropathy is characterized by pain, paresthesia, and weakness in the median nerve distribution of the hand.",,HP:0012185
8585,Entrapment neuropathy of the ulnar nerve at elbow,0012186,An entrapment neuropathy of the ulnar nerve in the cubital tunnel (in the elbow) characterized by numbness in the ring and little fingers and weakness of the intrinsic muscles in the hand.,,HP:0012186
8586,Increased erythrocyte protoporphyrin concentration,0012187,An increased concentration of protoporphyrins in erythrocytes.,,HP:0012187
8587,Hyperemesis gravidarum,0012188,"Excessive vomiting in early pregnancy, leading to the loss of 5% or more of body weight.",,HP:0012188
8588,Hodgkin lymphoma,0012189,A type of lymphoma characterized microscopically by multinucleated Reed-Sternberg cells.,"Hodgkin disease, Hodgkin's lymphoma",HP:0012189
8589,T-cell lymphoma,0012190,A type of lymphoma that originates in T-cells.,T cell lymphoma,HP:0012190
8590,B-cell lymphoma,0012191,A type of lymphoma that originates in B-cells.,B cell lymphoma,HP:0012191
8591,Cutaneous T-cell lymphoma,0012192,A type of T-cell lymphoma that exhibits malignant infiltration of the skin.,,HP:0012192
8592,Anaplastic large-cell lymphoma,0012193,"A type of T-cell lymphoma that is characterized by so-called hallmark cells with a pleomorphic appearance that express the CD30 antigen, are lobulated, and have indented nuclei.",,HP:0012193
8593,Episodic hemiplegia,0012194,"Transient episodes of weakness of the arm, leg, and in some cases the face on one side of the body.",,HP:0012194
8594,Irregular respiration,0012195,Uneven rhythm of breathing.,Irregular respiratory rhythm,HP:0012195
8595,Cheyne-Stokes respiration,0012196,"An abnormal pattern of respiration characterized by cycles of respiration that are increasingly deeper then shallower with possible periods of apnea. Affected patients may display a 10 to 20 second episode of hypoventilation or apnea, followed by respiration of increased depth and frequency over the course of about one minute. The cycle repeats every 45 seconds to 3 minutes.","Cheyne-Stokes breathing, Periodic respiration",HP:0012196
8596,Insulinoma,0012197,A type of tumor of the pancreatic beta cells that secretes excess insulin and can result in hypoglycemia.,Pancreatic insulinoma,HP:0012197
8597,Juvenile colonic polyposis,0012198,The presence of more than 5 juvenile polyps of the colon. The term juvenile polyps refer to a special histopathology and not the age of onset as the polyp might be diagnosed at all ages. The juvenile polyp has a spherical appearance and is microscopically characterized by overgrowth of an oedematous lamina propria with inflammatory cells and cystic glands.,,HP:0012198
8598,Cluster headache,0012199,A type of headache characterized by repeated attacks of unilateral pain lasting 15 to 180 minutes and associated with local autonomic signs.,,HP:0012199
8599,Abnormality of prothrombin,0012200,"An anomaly of clotting factor II, which is known as prothrombin, a vitamin K-dependent proenzyme that functions in the blood coagulation cascade.",,HP:0012200
8600,Increased serum bile acid concentration,0012202,An increase in the concentration of bile acid in the blood.,,HP:0012202
8601,Onychomycosis,0012203,"A fungal infection of the toenails or fingernails that tends to cause the nails to thicken, discolor, disfigure, and split.",,HP:0012203
8602,Recurrent vulvovaginal candidiasis,0012204,"Recurrent infection involving the vulva, vagina, and adjacent crural areas, whereby the causative agent belongs to the genus Candida.",,HP:0012204
8603,Globozoospermia,0012205,Any structural anomaly of the acrosome resulting in a round sperm head.,,HP:0012205
8604,Abnormal sperm motility,0012206,An anomaly of the mobility of ejaculated sperm.,Abnormal sperm motility,HP:0012206
8605,Reduced sperm motility,0012207,An abnormal reduction in the mobility of ejaculated sperm.,"Asthenospermia, Reduced sperm motility",HP:0012207
8606,Immotile sperm,0012208,A lack of mobility of ejaculated sperm.,Nonmotile sperm,HP:0012208
8607,Juvenile myelomonocytic leukemia,0012209,Juvenile myelomonocytic leukemia (JMML) is a lethal myeloproliferative disease of young childhood characterized clinically by overproduction of myelomonocytic cells and by the in vitro phenotype of hematopoietic progenitor hypersensitivity to granulocyte-macrophage colony-stimulating factor.,Juvenile myelomonocytic leukaemia,HP:0012209
8608,Abnormal renal morphology,0012210,Any structural anomaly of the kidney.,"Abnormal kidney morphology, Abnormally shaped kidney, Kidney malformation, Kidney structure issue, Renal malformation, Structural anomalies of the renal tract, Structural kidney abnormalities, Structural renal anomalies",HP:0012210
8609,Abnormal renal physiology,0012211,An abnormal functionality of the kidney.,"Abnormal kidney function, Abnormal renal function, Abnormality of renal physiology, Kidney function issue, Renal functional abnormality",HP:0012211
8610,Abnormal glomerular filtration rate,0012212,An abnormally increased or reduced amount of fluid filtered out of plasma through glomerular capillary walls into Bowman's capsules per unit of time.,Abnormal GFR,HP:0012212
8611,Decreased glomerular filtration rate,0012213,An abnormal reduction in the volume of fluid filtered out of plasma through glomerular capillary walls into Bowman's capsules per unit of time.,"Decreased GFR, Impaired renal creatinine clearance, Reduced creatinine clearance",HP:0012213
