Term,ID,Definition,Synonyms
Severe temper tantrums,25162,"Temper tantrums whose severity is more severe than usual. For instance, a temper tantrum might be considered to be severe if a child loses control so completely that the child cannot control the tantrum on its own, continuing until it becomes exhausted or a parent intervenes.",
Abnormality of optic chiasm morphology,25163,"A structural abnormality of the optic chiasm.The optic chiasm, located below the hypothalamus, is a partial crossing of the optic nerves.",
Increased number of elastic fibers in the dermis,25164,"An elevated number of elastic fibers, that is of bundles of proteins and glycoproteins in the extracellular matrix in the reticular dermis. Elastic fibers can stretch and recoil back to their original length. This feature can be appreciated on histology with hematoxylin and eosin or other staining methods.",Increased number of elastic fibres in the dermis
Clumping of elastic fibers in the dermis,25165,Formation of clumps or aggregates that make up small protuberances from elastic fibers within the dermis (especially the reticular dermis).,Clumping of elastic fibres in the dermis
Thickened elastic fibers in the dermis,25166,An increase of the diameter of elastic fibers in the dermis.,Thickened elastic fibres in the dermis
Fragmented elastic fibers in the dermis,25167,Elastic fibers in the dermis exhibit an increased number of breaks associated with disorganization of the structure of the elastic fibers.,Fragmented elastic fibres in the dermis
Left ventricular diastolic dysfunction,25168,Abnormal function of the left ventricule during left ventricular relaxation and filling.,
Left ventricular systolic dysfunction,25169,"Abnormality of left ventricular contraction, often defined operationally as an ejection fraction of less than 40 percent.",
Neuronal/glioneuronal neoplasm of the central nervous system,25170,"A central nervous system neoplasm with neuronal and, less consistently, glial differentiation.","Glioneuronal tumor, Glioneuronal tumour, Neuronal and mixed neuronal-glial tumor, Neuronal and mixed neuronal-glial tumour, Neuronal/glioneuronal neoplasm of the CNS"
Rosette-forming glioneuronal tumor,25171,"A tumor of the central nervous system that has components of both neurocytic and glial areas, whereby usually the glial component of the tumour predominates. Rossette-forming glioneuronal tumors (RGNT) have biphasic cytoarchitecture with two elements; neurocytic rosettes resembling Homer-Wright rosettes, and astrocytic component resembling a pilocytic astrocytoma. RGNTs are low-grade tumors that lack histopathological signs of malignancy.","Rosette-forming glioneuronal neoplasm, Rosette-forming glioneuronal tumour"
Smooth septal thickening on pulmonary HRCT,25172,Thickening of the interlobular septa of the lungs as seen on a high-resolution computed tomography scan with a smooth appearance of the interlobular septa.,
Nodular septal thickening on pulmonary HRCT,25173,Thickening of the interlobular septa of the lungs as seen on a high-resolution computed tomography scan with a nodular or beaded appearance of the interlobular septa.,
Irregular septal thickening on pulmonary HRCT,25174,Thickening of the interlobular septa of the lungs as seen on a high-resolution computed tomography scan with an irregular appearance of the interlobular septa. THis feature is often associated with distortion of lung architecture.,
Honeycomb lung,25175,"Honeycombing represents destroyed and fibrotic lung tissue containing numerous cystic airspaces with thick fibrous walls, representing the late stage of various lung diseases, with complete loss of acinar architecture. The cysts range in size from a few millimeters to several centimeters in diameter, have variable wall thickness, and are lined by metaplastic bronchiolar epithelium. On chest radiographs, honeycombing appears as closely approximated ring shadows, typically 3-10 mm in diameter with walls 1-3 mm in thickness, that resemble a honeycomb; the finding implies end-stage lung disease. On CT scans, the appearance is of clustered cystic air spaces, typically of comparable diameters on the order of 3-10 mm but occasionally as large as 2.5 cm. Honeycombing is usually subpleural and is characterized by well-defined walls. It is a CT feature of established pulmonary fibrosis. Because honeycombing is often considered specific for pulmonary fibrosis and is an important criterion in the diagnosis of usual interstitial pneumonia, the term should be used with care, as it may directly impact patient care.","Honeycomb cysts, Honeycombing"
Intralobular interstitial thickening,25176,"A fine reticular pattern on high-resolution computed tomography, with the visible lines separated by a few millimeters. Regions of the lung with intralobular interstitial thickening characteristically show a fine lacelike or netlike appearance.",
Peribronchovascular interstitial thickening,25177,"Thickening of the peribronchovascular interstitium, a connective tissue sheath that surrounds the central bronchi and pulmonary arteries. The peribronchovascular interstitium extends from the level of the pulmonary hila into the peripheral lung. This feature may be ascertained on high-resolution computer tomography.",
Subpleural interstitial thickening,25178,Increase in thickness of the subpleural interstitium.,Subpleural scarring
Ground-glass opacification,25179,"On chest radiographs, ground-glass opacity appears as an area of hazy increased lung opacity, usually extensive, within which\nmargins of pulmonary vessels may be indistinct. On CT scans, it appears as hazy increased opacity of lung, with preservation of bronchial and vascular margins. It is caused by partial filling of airspaces, interstitial thickening (due to fluid, cells, and/or fibrosis), partial collapse of alveoli, increased capillary blood volume, or a combination of these, the common factor being the partial displacement of air. Ground-glass opacity is less opaque than consolidation, in which bronchovascular margins are obscured.","GGO, Ground glass opacities"
Centrilobular ground-glass opacification on pulmonary HRCT,25180,A hazy area of increased attenuation in centrilobular areas of the lung with preserved bronchial and vascular markings seen on a computer tomography scan. Centrilobular refers to a location that is central within secondary pulmonary lobules.,"Centrilobular groundglass opacification, Centrilobular groundglass opacity"
Abdominal aseptic abscess,25181,"An abscess-like lesion located within the abdomen. The lesions are localized in the spleen, liver, abdominal lymph nodes. The lesions represent visceral sterile collections of mature neutrophils that do not respond to antibiotics but regress quickly when treated with corticosteroids, but relapses occur frequently.",
Localized area of pendulous skin,25182,"A confined region of lax skin that hangs below the level of the surrounding skin. Histopatholigically, there is a loss of elastic fibers in the dermis of the affected region.",Localised area of pendulous skin
Marcus Gunn jaw winking synkinesis,25186,"Unilateral ptosis with associated upper eyelid contraction and contraction of either the external or the internal pterygoid muscle. It is thought to occur because of congenital miswiring of a branch of the fifth cranial nerve into the branch of the third cranial nerve supplying the levator muscle. In Marcus Gunn jaw winking synkinesis, elevation and even retraction of the affected eyelid is triggered by chewing, suction, lateral mandible movement, smiling, sternocleidomastoid contraction, protruding tongue, Valsalva manoeuvre and even by breathing.","Marcus Gunn jaw-winking syndrome, Pterygoid-levator synkinesis, Trigemino-oculomotor synkinesis"
Retinal vasculitis,25188,"Inflammation of retinal blood vessels as manifested by perivascular sheathing or cuffing, vascular leakage and/or occlusion.",
Bilateral tonic-clonic seizure with generalized onset,25190,A bilateral tonic-clonic seizure with generalized onset is a type of bilateral tonic-clonic seizure characterised by generalized onset; these seizures rapidly engage networks in both hemispheres at the start of the seizure.,"Bilateral tonic-clonic seizure with generalised onset, Generalised tonic-clonic seizure without focal onset, Generalised tonic-clonic seizure without partial onset, Generalised tonic-clonic seizures without focal onset, Generalised-onset tonic-clonic seizure, Generalized tonic-clonic seizure without focal onset, Generalized tonic-clonic seizure without partial onset, Generalized tonic-clonic seizures without focal onset, Generalized-onset tonic-clonic seizure, Primarily generalised tonic-clonic seizures, Primarily generalized tonic-clonic seizures, Primary generalised tonic-clonic seizure, Primary generalised tonic-clonic seizures, Primary generalized tonic-clonic seizure, Primary generalized tonic-clonic seizures"
