,Definition,ClassificationLevel
4407,"phosphoserine aminotransferase deficiency is an extremely rare form of serine deficiency syndrome (see this term) characterized clinically in the two reported cases to date by acquired microcephaly, psychomotor retardation, intractable seizures and hypertonia.",Subtype of disorder
4422,"tropical spastic paraparesis is a chronic systemic immune-mediated inflammatory myeloneuropathy, more frequently reported in women than in men, that usually presents in adulthood with slowly progressive spastic paraparesis of the lower limbs, bladder and bowel dysfunction, and sensory disturbances in the lower extremities (e.g. paresthesia and dysesthesia) and that is associated with a human t-cell lymphotropic virus type 1 (htlv-1) infection.",Disorder
4443,syndromic recessive x-linked ichthyosis (rxli) refers to the cases of rxli (see this term) that are associated with extracutaneous manifestations as part of a syndrome.,Disorder
4444,syndromic recessive x-linked ichthyosis (rxli) refers to the cases of rxli (see this term) that are associated with extracutaneous manifestations as part of a syndrome.,Group of disorders
4445,syndromic recessive x-linked ichthyosis (rxli) refers to the cases of rxli (see this term) that are associated with extracutaneous manifestations as part of a syndrome.,Disorder
4478,"8q21.11 microdeletion syndrome encompasses heterozygous overlapping microdeletions on chromosome 8q21.11 resulting in intellectual disability, facial dysmorphism comprising a round face, ptosis, short philtrum, cupid's bow and prominent low-set ears, nasal speech and mild finger and toe anomalies.",Disorder
4489,"pontocerebellar hypoplasia type 7 (pch7) is a novel very rare form of pontocerebellar hypoplasia (see this term) with unknown etiology and poor prognosis reported in four patients and is characterized clinically during the neonatal period by hypotonia, no palpable gonads, micropenis and from infancy by progressive microcephaly, apneic episodes, poor feeding, seizures and regression of penis. mri demonstrates a pontocerebellar hypoplasia. pch7 is expressed as pch with 46,xy disorder of sex development (see this term) in individuals with xy karyotype, and may be expressed as pch only in individuals with xx karyotype.",Disorder
4495,"small cell carcinoma of the bladder (sccb) is a very rare, poorly differentiated neuroendocrine epithelial bladder tumor characterized clinically by hematuria and/or dysuria and a highly aggressive course.",Disorder
4554,"a rare parkinsonian syndrome due to intoxication which develops in individuals surviving an acute cyanide intoxication episode or due to chronic exposure to small cyanide doses. it presents several weeks after acute exposure with progressive typical clinical features of parkinsonism including bradykinesia, rigidity, dystonia, hypomimia, hypokinetic dysarthria, postural instability and retropulsion but no resting or postural tremor. brain mri reveals bilateral lesions in the pallidum, posterior putamen, substantia nigra, subthalamic nucleus, temporal and occipital cortex, and cerebellum.",Disorder
4557,"primary dystonia, dyt21 type is a subtype of mixed dystonia with a late-onset form of pure torsion dystonia.",Disorder
4584,chordomas are rare malignant tumors arising from embryonic remnants of the notochord in axial skeleton.,Disorder
4585,chordomas are rare malignant tumors arising from embryonic remnants of the notochord in axial skeleton.,Subtype of disorder
4623,"carcinoma of the ampulla of vater is a rare malignant tumor originating from the ampulla of vater that can present with symptoms of general fatigue, loss of appetite, weight loss, nausea, vomiting, abdominal pain and, most commonly, painless obstructive jaundice. the tumor is believed to arise from duodenal, biliary or pancreatic epilthelium, resulting in the respective histological types. in general, carcinoma of the ampulla of vater has a better prognosis (5-year survival rate of 45%) than cancers of the distal bile duct and pancreas.",Disorder
4636,primary cutaneous anaplastic large cell lymphoma (c-alcl) is a rare t-cell non-hodgkin lymphoma that affects the skin and generally shows no extracutaneous involvement at presentation. it belongs to the spectrum of primary cutaneous cd30+ lymphoproliferative disorders along with lymphomatoid papulosis (see this term) with which it shares overlapping clinical and histopathologic features.,Disorder
4637,"t-cell/histiocyte rich large b cell lymphoma (thrlbcl) is a rare variant of diffuse large b-cell lymphoma (dlbcl; see this term), mainly affecting middle-aged men and often not being discovered until an advanced disease stage, with involvement of the spleen, liver and bone marrow occurring at a greater frequency than in dlbcl. it is often difficult to diagnose due to its similarity with other lymphoid diseases such as classic hodgkin lymphoma and nodular lymphocyte-predominant hodgkin lymphoma (see these terms) and has an aggressive clinical course.",Disorder
4641,"diffuse large b-cell lymphoma with chronic inflammation is an epstein-barr virus-associated malignant lymphoproliferative disorder, developing in a context of long-standing or slow-growing, chronically inflamed lesions, such as chronic pyothorax, metallic implants in bones and joints, chronic osteomyelitis, chronic venous ulcer, or, rarely granulomatous inflammation. the tumor is usually primarily localized, with no involvement of other organs.",Disorder
4650,"fadd-related immunodeficiency is a rare genetic immunological disease reported in a single consanguineous pakistani family with several affected members presenting with severe bacterial and viral infections, recurrent hepatopathy (portal inflammation, fibrosis), and recurrent, stereotypical febrile episodes, sometimes lasting several days, with encephalopathy and difficult-to-control seizures. variable cardiac malformations were also reported. although there were autoimmune lymphoproliferative syndrome (alps)-like biological features, clinical alps was not present. a homozygous missense mutation in the <i>fadd</i> gene (11q13.3) was found in the family and the disease is thought to follow an autosomal recessive pattern of inheritance.",Disorder
4657,"isolated hereditary congenital facial paralysis (ihcfp) is an extremely rare neurological disorder presumed to result from maldevelopment of the facial nucleus and/or cranial nerve and has been reported in fewer than 10 families to date. it manifests as non-progressive, isolated, unilateral or bilateral, symmetrical or asymmetrical facial palsy. involvement of the branches of the facial nerve can be unequal.",Disorder
4663,"a life-threatening multiorgan disorder which develops in the first months of life, presenting with respiratory distress and proteinuria in the nephrotic range, and leading to severe interstitial lung disease and renal failure. some patients additionally display cutaneous alterations, ranging from blistering and skin erosions to an epidermolysis bullosa-like phenotype, with toe nail dystrophy and sparse hair.",Disorder
